emp_no,dept_no,from_date,to_date
111035,d007,1992-12-30,1998-12-29
111133,d007,1991-12-29,1996-12-27
111134,d007,1992-06-13,1998-06-12
111135,d007,1994-01-14,1999-01-13
111136,d007,1994-06-13,2001-06-11
111137,d007,1993-05-04,1998-05-03
111138,d007,1996-03-26,2001-03-25
111139,d007,1995-07-19,9997-06-15
111140,d007,1997-06-12,2003-06-11
111141,d007,1993-06-20,1999-06-19
111142,d007,1995-01-22,2000-01-21
111143,d007,1991-11-21,1999-11-19
111144,d007,1992-06-13,1999-06-12
111145,d007,1990-01-05,1995-06-13
111146,d007,1991-01-15,1996-01-14
111147,d007,1995-10-06,2001-10-04
111148,d007,1991-10-14,1997-10-12
111149,d007,1999-05-29,2000-05-27
111150,d007,2000-05-29,2005-04-27
111400,d008,1990-03-11,1999-12-29
111534,d008,1991-01-30,1999-01-28
111535,d008,1996-06-12,1999-06-12
111536,d008,1997-09-21,9999-06-15
111537,d008,1992-06-13,1998-06-12
111538,d008,1994-01-14,1999-01-13
111539,d008,1994-06-13,2001-06-11
111540,d008,1993-05-04,1998-05-03
111541,d008,1996-03-26,2001-03-25
111542,d008,1995-07-19,9999-06-15
111543,d008,1997-06-12,2003-06-11
111544,d008,1993-06-20,1999-06-19
111545,d008,1999-05-29,9999-01-01
111692,d009,1991-05-20,2001-12-28
111784,d009,1993-02-10,1997-02-09
111877,d009,1995-08-16,1999-08-15
111939,d009,1997-07-08,9999-01-01
111940,d009,1996-09-20,2002-09-19
111941,d009,1992-09-28,1998-09-27
111942,d009,1994-05-02,1999-05-01
111943,d009,1991-03-01,1999-02-27
111944,d009,1995-02-03,2001-02-01
111945,d009,1994-02-01,1999-01-31
111946,d009,1995-02-01,2000-01-31
111947,d009,1996-02-01,2001-01-30
111948,d009,1997-01-31,2002-01-30
111949,d009,1992-01-22,1998-01-20
111950,d009,1993-08-25,1998-08-24
111951,d009,1990-06-24,1998-06-22
111952,d009,1994-05-29,2000-05-27
112000,d009,1998-05-29,2000-06-23
112001,d009,1999-05-29,2000-06-27
112002,d009,1999-05-29,2002-01-22
112003,d009,2000-05-29,2008-10-14
112004,d009,2000-05-29,2009-01-15
